scenario,metric,metric_label,decoder1,decoder2,p_raw,p_bonf,significant_0.01
scenario2,exc_recall_at_max_f1,Exact recall,deepcell,scaled,0.0,0.0,True
scenario2,exc_recall_at_max_f1,Exact recall,nn,scaled,0.0,0.0,True
scenario2,exc_fdr_at_max_f1,Exact FDR,bardensr,cosine-np,8.956917096902828e-09,8.956917096902828e-08,True
scenario2,exc_fdr_at_max_f1,Exact FDR,bardensr,deepcell,0.007123983965343084,0.07123983965343084,False
scenario2,exc_fdr_at_max_f1,Exact FDR,bardensr,nn,2.7755575615628914e-15,2.7755575615628914e-14,True
scenario2,exc_fdr_at_max_f1,Exact FDR,bardensr,scaled,2.220446049250313e-16,2.220446049250313e-15,True
scenario2,exc_fdr_at_max_f1,Exact FDR,cosine-np,deepcell,0.0,0.0,True
scenario2,exc_fdr_at_max_f1,Exact FDR,cosine-np,nn,0.0,0.0,True
scenario2,exc_fdr_at_max_f1,Exact FDR,cosine-np,scaled,0.11124624644314074,1.0,False
scenario2,exc_fdr_at_max_f1,Exact FDR,deepcell,nn,1.3503781630119782e-05,0.00013503781630119782,True
scenario2,exc_fdr_at_max_f1,Exact FDR,deepcell,scaled,0.0,0.0,True
scenario2,exc_fdr_at_max_f1,Exact FDR,nn,scaled,0.0,0.0,True
scenario2,exc_max_f1,Exact F1,bardensr,cosine-np,3.2516472717070144e-05,0.00032516472717070144,True
scenario2,exc_max_f1,Exact F1,bardensr,deepcell,7.582252306237436e-05,0.0007582252306237436,True
scenario2,exc_max_f1,Exact F1,bardensr,nn,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario2,exc_max_f1,Exact F1,bardensr,scaled,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario2,exc_max_f1,Exact F1,cosine-np,deepcell,0.0,0.0,True
scenario2,exc_max_f1,Exact F1,cosine-np,nn,0.0,0.0,True
scenario2,exc_max_f1,Exact F1,cosine-np,scaled,0.0003739884145286254,0.003739884145286254,True
scenario2,exc_max_f1,Exact F1,deepcell,nn,7.582252306237436e-05,0.0007582252306237436,True
scenario2,exc_max_f1,Exact F1,deepcell,scaled,0.0,0.0,True
scenario2,exc_max_f1,Exact F1,nn,scaled,0.0,0.0,True
scenario2,max_r,Max Pearson r,bardensr,cosine-np,1.1951810652277572e-09,1.1951810652277572e-08,True
scenario2,max_r,Max Pearson r,bardensr,deepcell,2.145926325525238e-09,2.145926325525238e-08,True
scenario2,max_r,Max Pearson r,bardensr,nn,1.59476876149256e-11,1.5947687614925599e-10,True
scenario2,max_r,Max Pearson r,bardensr,scaled,3.0251801064196115e-11,3.0251801064196115e-10,True
scenario2,max_r,Max Pearson r,cosine-np,deepcell,0.0,0.0,True
scenario2,max_r,Max Pearson r,cosine-np,nn,0.0,0.0,True
scenario2,max_r,Max Pearson r,cosine-np,scaled,0.983548044598213,1.0,False
scenario2,max_r,Max Pearson r,deepcell,nn,0.9530207470844513,1.0,False
scenario2,max_r,Max Pearson r,deepcell,scaled,0.0,0.0,True
scenario2,max_r,Max Pearson r,nn,scaled,0.0,0.0,True
scenario2,max_rho,Max Spearman rho,bardensr,cosine-np,0.0,0.0,True
scenario2,max_rho,Max Spearman rho,bardensr,deepcell,7.582252306237436e-05,0.0007582252306237436,True
scenario2,max_rho,Max Spearman rho,bardensr,nn,7.582252306237436e-05,0.0007582252306237436,True
scenario2,max_rho,Max Spearman rho,bardensr,scaled,0.0,0.0,True
scenario2,max_rho,Max Spearman rho,cosine-np,deepcell,6.75699529661955e-09,6.75699529661955e-08,True
scenario2,max_rho,Max Spearman rho,cosine-np,nn,0.0,0.0,True
scenario2,max_rho,Max Spearman rho,cosine-np,scaled,0.8203316846733013,1.0,False
scenario2,max_rho,Max Spearman rho,deepcell,nn,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario2,max_rho,Max Spearman rho,deepcell,scaled,4.328648550711023e-12,4.328648550711023e-11,True
scenario2,max_rho,Max Spearman rho,nn,scaled,0.0,0.0,True
scenario2,exc_average_precision,Exact average precision,bardensr,cosine-np,4.852235742092148e-07,4.852235742092148e-06,True
scenario2,exc_average_precision,Exact average precision,bardensr,deepcell,4.985416234992712e-05,0.0004985416234992712,True
scenario2,exc_average_precision,Exact average precision,bardensr,nn,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario2,exc_average_precision,Exact average precision,bardensr,scaled,3.9968028886505635e-15,3.9968028886505635e-14,True
scenario2,exc_average_precision,Exact average precision,cosine-np,deepcell,0.0,0.0,True
scenario2,exc_average_precision,Exact average precision,cosine-np,nn,0.0,0.0,True
scenario2,exc_average_precision,Exact average precision,cosine-np,scaled,0.05643168700253298,0.5643168700253298,False
scenario2,exc_average_precision,Exact average precision,deepcell,nn,0.0005460075954142329,0.005460075954142329,True
scenario2,exc_average_precision,Exact average precision,deepcell,scaled,0.0,0.0,True
scenario2,exc_average_precision,Exact average precision,nn,scaled,0.0,0.0,True
scenario3,exc_recall_at_max_f1,Exact recall,bardensr,cosine-np,0.0,0.0,True
scenario3,exc_recall_at_max_f1,Exact recall,bardensr,deepcell,0.005201887475435152,0.05201887475435152,False
scenario3,exc_recall_at_max_f1,Exact recall,bardensr,nn,0.08959872639542721,0.8959872639542721,False
scenario3,exc_recall_at_max_f1,Exact recall,bardensr,scaled,0.0,0.0,True
scenario3,exc_recall_at_max_f1,Exact recall,cosine-np,deepcell,0.0,0.0,True
scenario3,exc_recall_at_max_f1,Exact recall,cosine-np,nn,6.604565783163707e-10,6.604565783163707e-09,True
scenario3,exc_recall_at_max_f1,Exact recall,cosine-np,scaled,0.0022812826421959587,0.022812826421959587,False
scenario3,exc_recall_at_max_f1,Exact recall,deepcell,nn,2.711805402455525e-08,2.711805402455525e-07,True
scenario3,exc_recall_at_max_f1,Exact recall,deepcell,scaled,0.0,0.0,True
scenario3,exc_recall_at_max_f1,Exact recall,nn,scaled,0.0,0.0,True
scenario3,exc_fdr_at_max_f1,Exact FDR,bardensr,cosine-np,0.0,0.0,True
scenario3,exc_fdr_at_max_f1,Exact FDR,bardensr,deepcell,0.9997714362467712,1.0,False
scenario3,exc_fdr_at_max_f1,Exact FDR,bardensr,nn,1.0632139613164782e-10,1.0632139613164782e-09,True
scenario3,exc_fdr_at_max_f1,Exact FDR,bardensr,scaled,0.0,0.0,True
scenario3,exc_fdr_at_max_f1,Exact FDR,cosine-np,deepcell,0.0,0.0,True
scenario3,exc_fdr_at_max_f1,Exact FDR,cosine-np,nn,1.747299994692142e-07,1.747299994692142e-06,True
scenario3,exc_fdr_at_max_f1,Exact FDR,cosine-np,scaled,0.20043839644747152,1.0,False
scenario3,exc_fdr_at_max_f1,Exact FDR,deepcell,nn,3.621146715815371e-10,3.621146715815371e-09,True
scenario3,exc_fdr_at_max_f1,Exact FDR,deepcell,scaled,0.0,0.0,True
scenario3,exc_fdr_at_max_f1,Exact FDR,nn,scaled,7.172040739078511e-14,7.172040739078511e-13,True
scenario3,exc_max_f1,Exact F1,bardensr,cosine-np,0.0,0.0,True
scenario3,exc_max_f1,Exact F1,bardensr,deepcell,0.842221820867224,1.0,False
scenario3,exc_max_f1,Exact F1,bardensr,nn,8.956917096902828e-09,8.956917096902828e-08,True
scenario3,exc_max_f1,Exact F1,bardensr,scaled,0.0,0.0,True
scenario3,exc_max_f1,Exact F1,cosine-np,deepcell,0.0,0.0,True
scenario3,exc_max_f1,Exact F1,cosine-np,nn,2.1038630406144954e-05,0.00021038630406144954,True
scenario3,exc_max_f1,Exact F1,cosine-np,scaled,0.0005460075954142329,0.005460075954142329,True
scenario3,exc_max_f1,Exact F1,deepcell,nn,8.341216606311264e-12,8.341216606311264e-11,True
scenario3,exc_max_f1,Exact F1,deepcell,scaled,0.0,0.0,True
scenario3,exc_max_f1,Exact F1,nn,scaled,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario3,max_r,Max Pearson r,bardensr,cosine-np,0.0,0.0,True
scenario3,max_r,Max Pearson r,bardensr,deepcell,1.6030616833973e-09,1.6030616833973e-08,True
scenario3,max_r,Max Pearson r,bardensr,nn,0.7205287109457077,1.0,False
scenario3,max_r,Max Pearson r,bardensr,scaled,1.887379141862766e-15,1.887379141862766e-14,True
scenario3,max_r,Max Pearson r,cosine-np,deepcell,0.0,0.0,True
scenario3,max_r,Max Pearson r,cosine-np,nn,0.0,0.0,True
scenario3,max_r,Max Pearson r,cosine-np,scaled,0.9291849837680282,1.0,False
scenario3,max_r,Max Pearson r,deepcell,nn,2.6869318789923824e-06,2.6869318789923824e-05,True
scenario3,max_r,Max Pearson r,deepcell,scaled,0.0,0.0,True
scenario3,max_r,Max Pearson r,nn,scaled,0.0,0.0,True
scenario3,max_rho,Max Spearman rho,bardensr,cosine-np,0.0,0.0,True
scenario3,max_rho,Max Spearman rho,bardensr,deepcell,5.551115123125783e-16,5.551115123125783e-15,True
scenario3,max_rho,Max Spearman rho,bardensr,nn,0.006094246753871491,0.060942467538714906,False
scenario3,max_rho,Max Spearman rho,bardensr,scaled,0.0,0.0,True
scenario3,max_rho,Max Spearman rho,cosine-np,deepcell,7.788114597673257e-11,7.788114597673257e-10,True
scenario3,max_rho,Max Spearman rho,cosine-np,nn,0.0,0.0,True
scenario3,max_rho,Max Spearman rho,cosine-np,scaled,0.9988642140796474,1.0,False
scenario3,max_rho,Max Spearman rho,deepcell,nn,5.431806182620846e-06,5.4318061826208464e-05,True
scenario3,max_rho,Max Spearman rho,deepcell,scaled,4.89521201352261e-10,4.89521201352261e-09,True
scenario3,max_rho,Max Spearman rho,nn,scaled,0.0,0.0,True
scenario3,exc_average_precision,Exact average precision,bardensr,cosine-np,0.0,0.0,True
scenario3,exc_average_precision,Exact average precision,bardensr,deepcell,0.00017117024056945152,0.0017117024056945152,True
scenario3,exc_average_precision,Exact average precision,bardensr,nn,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario3,exc_average_precision,Exact average precision,bardensr,scaled,0.0,0.0,True
scenario3,exc_average_precision,Exact average precision,cosine-np,deepcell,0.0,0.0,True
scenario3,exc_average_precision,Exact average precision,cosine-np,nn,1.6030616833973e-09,1.6030616833973e-08,True
scenario3,exc_average_precision,Exact average precision,cosine-np,scaled,0.9709294963661996,1.0,False
scenario3,exc_average_precision,Exact average precision,deepcell,nn,4.985416234992712e-05,0.0004985416234992712,True
scenario3,exc_average_precision,Exact average precision,deepcell,scaled,0.0,0.0,True
scenario3,exc_average_precision,Exact average precision,nn,scaled,2.1986190645861825e-11,2.1986190645861825e-10,True
scenario4,exc_recall_at_max_f1,Exact recall,bardensr,cosine-np,0.0,0.0,True
scenario4,exc_recall_at_max_f1,Exact recall,bardensr,deepcell,7.582252306237436e-05,0.0007582252306237436,True
scenario4,exc_recall_at_max_f1,Exact recall,bardensr,nn,7.582252306237436e-05,0.0007582252306237436,True
scenario4,exc_recall_at_max_f1,Exact recall,bardensr,scaled,0.0,0.0,True
scenario4,exc_recall_at_max_f1,Exact recall,cosine-np,deepcell,0.0,0.0,True
scenario4,exc_recall_at_max_f1,Exact recall,cosine-np,nn,2.1986190645861825e-11,2.1986190645861825e-10,True
scenario4,exc_recall_at_max_f1,Exact recall,cosine-np,scaled,0.9709294963661996,1.0,False
scenario4,exc_recall_at_max_f1,Exact recall,deepcell,nn,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario4,exc_recall_at_max_f1,Exact recall,deepcell,scaled,0.0,0.0,True
scenario4,exc_recall_at_max_f1,Exact recall,nn,scaled,1.6030616833973e-09,1.6030616833973e-08,True
scenario4,exc_fdr_at_max_f1,Exact FDR,bardensr,cosine-np,0.0,0.0,True
scenario4,exc_fdr_at_max_f1,Exact FDR,bardensr,deepcell,0.011229146012976754,0.11229146012976754,False
